The Helm Project (HELM),,,,,,
Road No.,Model,Date,,,,
7186-7205,SD40-2,9/10/1979,,,,
7228-7235,SD40-2,Jul-80,,,,
"7253, 7258 & 7267",SD40-2,2/3/1980,,,,
7332,SD40-2,--,,,,
7700 and 7701,GP60,Oct-78,,,,
7789,GP38,Oct-69,,,,
7857 & 7860,SD40-2,Oct-78,,,,
7869 & 7892,SD40-2,3 & 5/79,,,,
8033,SD40-2,Aug-79,,,,
JFDX 8045,SD40-2,Aug-79,,,,
8046,SD40-2,Aug-79,,,,
"8058-59, 61 & 71",SD40-2,11/12/1979,,,,
8076-77 & 79,SD40-2,Aug-79,,,,
"8082, 85 & 89",SD40-2,Aug-79,,,,
8137-8159,SD40-2,6/7/1980,,,,
8161-8181,SD40-2,Jul-80,,,,
8443,SD40-2,--,,,,
8507,SD40-2,Nov-78,,,,
9000 & 9001,SD40M-2,"--, 5/69",,,,
"9002, 9003 & 9007",SD40M-2,"8, 1/66, 2/68",,,,
9004-9006,SD40M-2,"2,1,2/69",,,,
9008-9010,SD40M-2,1/3/1969,,,,
9011-9013,SD40M-2,"10, 3, 2/69",,,,
9014-9016,SD40M-2,"10, 12, 12/66",,,,
"9017, 9019 & 9020",SD40M-2,Apr-69,,,,
9018,SD40M-2,Feb-68,,,,
9021 & 9022,SD40M-2,--,,,,
9023-9025,SD40M-2,"1/68, 12/67, 7/68",,,,
9026 & 9031,SD40M-2,"7/68, 4/69",,,,
9027-9029,SD40M-2,12/67; 1/68,,,,
"9030, 9032 & 9036",SD40M-2,12/67; 1/68,,,,
9037 & 9039,SD40M-2,Apr-70,,,,
9038 & 9040,SD40M-2,"4/70, 5/71",,,,
9041 & 9042,SD40M-2,"8/66, 3/71",,,,
"9043, 9047",SD40M-2,Aug-68,,,,
9044 & 9045,SD40M-2,Aug-66,,,,
[9050-9052],SD40M-2,"-1/70, 3/65, -",,,,
9297,GP38-2,Nov-75,,,,
"9405, & 9409",GP38-2,Mar-79,,,,
"9401, 03, 08, 12, 14",GP40-2LM,3/4/1974,,,,
"9432, 34, 38, 43",GP40-2LM,Jun-74,,,,
"9458, 59, 63 & 65-66",GP40-2LM,6/7/1974,,,,
"9470-72, 78 and 80",GP40-2LM,7/8/1974,,,,
"9522, 26 & 70",GP40-2LM,"10-11/74, 3/75",,,,
9569,SF-30C,Feb-75,,,,
"9632, 9634 & 9636",GP40-2M,9/75; 3/76,,,,
"9641-42, 44, & 46",GP40-2M,Mar-76,,,,
9647-53 (odd #s only),GP40-2M,Mar-76,,,,
"9655-57, 59 & 60",GP40-2M,3/4/1976,,,,
9662-65 & 67,GP40-2M,4/5/1976,,,,
9712,GP38AC,Feb-70,,,,
9925,SD40-2,Sep-78,,,,
"HLGX 525-26, 29, 32-33 & 35-36",C30-7,6/7/1978,,,,
HLGX 535-36 & 538,C30-7,Oct-78,,,,
HLGX 540-545,C30-7,4/5/1979,,,,
HLGX 546-548,C30-7,May-79,,,,
"HLGX 550, 51, 54 & 55",C30-7,May-79,,,,
HLGX 559-562,C30-7,May-79,,,,
"HLGX 584, 585 & 587",C30-7,"3, 7, 10/78",,,,
"HLGX 584, 585 & 587",C30-7,"3, 7, 10/78",,,,
"HLGX 590, 592 & 593",C30-7,May-79,,,,
HLGX 6800 & 6801,C36-7E,"10/79, 12/78",,,,
HLGX 6802 & 6803,C36-7E,Oct-79,,,,
HLGX 6804-6807,C36-7E,Dec-78,,,,
HLGX 6808-6811,C36-7E,Dec-78,,,,
HLGX 6812-6814,C36-7E,Oct-79,,,,
