0,1,2,3,4
"1015, 16 & 18 74811, 75362, 76189 12/46, 7/47, 11/48 Ex-Erie 502, 513, 519 & 524","74811, 75362, 76189 12/46, 7/47, 11/48 Ex-Erie 502, 513, 519 & 524","12/46, 7/47, 11/48 Ex-Erie 502, 513, 519 & 524","Ex-Erie 502, 513, 519 & 524",
"1017, 1019 & 1020 75550, 77825, 73597 12/47, 11/49, 7/45 Ex-D&H 3012, Erie 524 and CRI&P 721","75550, 77825, 73597 12/47, 11/49, 7/45 Ex-D&H 3012, Erie 524 and CRI&P 721","12/47, 11/49, 7/45 Ex-D&H 3012, Erie 524 and CRI&P 721","Ex-D&H 3012, Erie 524 and CRI&P 721",
"1021 & 1023 81133, 80092 3/55, 3/53 S4; ex-SP 1555 & 1514","81133, 80092 3/55, 3/53 S4; ex-SP 1555 & 1514","3/55, 3/53 S4; ex-SP 1555 & 1514",S4; ex-SP 1555 & 1514,
"1022, 24 & 25 -- -- Ex-??",-- -- Ex-??,-- Ex-??,Ex-??,
"1026-1028 & 1031 72735, 72824,76784; 69662 8,9/42; 6/49 & 3/82 Ex-TRRA 582, 586, 569 & 575","72735, 72824,76784; 69662 8,9/42; 6/49 & 3/82 Ex-TRRA 582, 586, 569 & 575","8,9/42; 6/49 & 3/82 Ex-TRRA 582, 586, 569 & 575","Ex-TRRA 582, 586, 569 & 575",
1029 & 1032 69417 2/41- Ex-LA Jct. 1 and ??,69417 2/41- Ex-LA Jct. 1 and ??,2/41- Ex-LA Jct. 1 and ??,Ex-LA Jct. 1 and ??,
"1030, 1031 & 1034 72734, 69662, 69517 8/44, 3/42, 8/41 Ex-TRRA 581, 575 & 573","72734, 69662, 69517 8/44, 3/42, 8/41 Ex-TRRA 581, 575 & 573","8/44, 3/42, 8/41 Ex-TRRA 581, 575 & 573","Ex-TRRA 581, 575 & 573",
1033 79822 4/53 Ex-SAL 1484,79822 4/53 Ex-SAL 1484,4/53 Ex-SAL 1484,Ex-SAL 1484,
"1033(2nd & 3rd) 74661, 74665 8/46 Ex-SAL 1427 & 1428","74661, 74665 8/46 Ex-SAL 1427 & 1428",8/46 Ex-SAL 1427 & 1428,Ex-SAL 1427 & 1428,
1035 74490 7/46 Ex-GTW 8110 < GTW 7934,74490 7/46 Ex-GTW 8110 < GTW 7934,7/46 Ex-GTW 8110 < GTW 7934,Ex-GTW 8110 < GTW 7934,
"1036 & 1037 --, 77617 --, 3/49 Ex-?? and Angelina & Neches River 11","--, 77617 --, 3/49 Ex-?? and Angelina & Neches River 11","--, 3/49 Ex-?? and Angelina & Neches River 11",Ex-?? and Angelina & Neches River 11,
"1038 & 1039 80459, 79822 5,4/53 S4; ex-SAL 1489 & 1484","80459, 79822 5,4/53 S4; ex-SAL 1489 & 1484","5,4/53 S4; ex-SAL 1489 & 1484",S4; ex-SAL 1489 & 1484,
1040 & 1041 -- -- Ex-LA Jct. ?? and ??,-- -- Ex-LA Jct. ?? and ??,-- Ex-LA Jct. ?? and ??,Ex-LA Jct. ?? and ??,
"1042-1045 74791, 74660, 75908 & -- 9,8/46, 6/48,-- Ex-SAL 1430, 1426, 1433 & #??","74791, 74660, 75908 & -- 9,8/46, 6/48,-- Ex-SAL 1430, 1426, 1433 & #??","9,8/46, 6/48,-- Ex-SAL 1430, 1426, 1433 & #??","Ex-SAL 1430, 1426, 1433 & #??",
"1047-1049 74786,-, 75907 6/48, -, 6/48 Ex-SAL 1429, #?? & 1432","74786,-, 75907 6/48, -, 6/48 Ex-SAL 1429, #?? & 1432","6/48, -, 6/48 Ex-SAL 1429, #?? & 1432","Ex-SAL 1429, #?? & 1432",
"1050, 1051 & 1053(1st) 79821, 79506, 79225 4/53, 12,10/51 S4; ex-SAL 1483, SP 1474 and FP&E 105","79821, 79506, 79225 4/53, 12,10/51 S4; ex-SAL 1483, SP 1474 and FP&E 105","4/53, 12,10/51 S4; ex-SAL 1483, SP 1474 and FP&E 105","S4; ex-SAL 1483, SP 1474 and FP&E 105",
"1052, 1053(2nd) & 1056 81403, 81974, 81973 9/55, 7,7/56 S4; ex-GTW 8083, 8197 & 8196","81403, 81974, 81973 9/55, 7,7/56 S4; ex-GTW 8083, 8197 & 8196","9/55, 7,7/56 S4; ex-GTW 8083, 8197 & 8196","S4; ex-GTW 8083, 8197 & 8196",
"1054 & 1055 69653, 69654,  1/42 Ex-CV #7918 & 8095 (7919)","69653, 69654,  1/42 Ex-CV #7918 & 8095 (7919)",1/42 Ex-CV #7918 & 8095 (7919),Ex-CV #7918 & 8095 (7919),
"1057-1059 81868,--,-- 5/56,--,-- S4; ex-B&O 9086, #?? & #??","81868,--,-- 5/56,--,-- S4; ex-B&O 9086, #?? & #??","5/56,--,-- S4; ex-B&O 9086, #?? & #??","S4; ex-B&O 9086, #?? & #??",
"1061 & 1062 77807, 72019 11/49, 3/44-- Ex-C&O 5038 and GTW 7921","77807, 72019 11/49, 3/44-- Ex-C&O 5038 and GTW 7921","11/49, 3/44-- Ex-C&O 5038 and GTW 7921",Ex-C&O 5038 and GTW 7921,
"1062, 63 & 64 77053, 75912, 75239 3/50, 7/48, 6/47 Scrapped; ex-ITC 709, McKeesport Conn. 1006 and CGW 10","77053, 75912, 75239 3/50, 7/48, 6/47 Scrapped; ex-ITC 709, McKeesport Conn. 1006 and CGW 10","3/50, 7/48, 6/47 Scrapped; ex-ITC 709, McKeesport Conn. 1006 and CGW 10","Scrapped; ex-ITC 709, McKeesport Conn. 1006 and CGW 10",
"1065-1067 73928,-, - 2/47, -, - Ex-SP 1733 (T&NO 45), -- & --","73928,-, - 2/47, -, - Ex-SP 1733 (T&NO 45), -- & --","2/47, -, - Ex-SP 1733 (T&NO 45), -- & --","Ex-SP 1733 (T&NO 45), -- & --",
"1070 & 1072 70232, 79339 5/43, 3/52 EX-Northern Pacific Termnal 37 & 42","70232, 79339 5/43, 3/52 EX-Northern Pacific Termnal 37 & 42","5/43, 3/52 EX-Northern Pacific Termnal 37 & 42",EX-Northern Pacific Termnal 37 & 42,
"1071(1st) & 1071(2nd) 76904, 80297 1/50, 1/54 EX-Northern Pacific Termnal 41 & 44","76904, 80297 1/50, 1/54 EX-Northern Pacific Termnal 41 & 44","1/50, 1/54 EX-Northern Pacific Termnal 41 & 44",EX-Northern Pacific Termnal 41 & 44,
"1073 & 1074 76582, 76903 2/48, 1/50 EX-Northern Pacific Termnal 39 & 40","76582, 76903 2/48, 1/50 EX-Northern Pacific Termnal 39 & 40","2/48, 1/50 EX-Northern Pacific Termnal 39 & 40",EX-Northern Pacific Termnal 39 & 40,
"1075 & 1075(2nd) 79560, 76904 3/52, 1/50 EX-Northern Pacific Termnal 43 & 41","79560, 76904 3/52, 1/50 EX-Northern Pacific Termnal 43 & 41","3/52, 1/50 EX-Northern Pacific Termnal 43 & 41",EX-Northern Pacific Termnal 43 & 41,
1076 70215 1/54 EX-Northern Pacific Termnal 36,70215 1/54 EX-Northern Pacific Termnal 36,1/54 EX-Northern Pacific Termnal 36,EX-Northern Pacific Termnal 36,
1077 80298 1/54 S4; ex-Northern Pacific Termnal 45,80298 1/54 S4; ex-Northern Pacific Termnal 45,1/54 S4; ex-Northern Pacific Termnal 45,S4; ex-Northern Pacific Termnal 45,
1078 70214 9/43 Ex-Relco 1076(1st),70214 9/43 Ex-Relco 1076(1st),9/43 Ex-Relco 1076(1st),Ex-Relco 1076(1st),
"NW2 / SW9 (EMD) 1201 & 1202 7493, 8523 1, 5/49 Ex-EJ&E 430 & 439","1201 & 1202 7493, 8523 1, 5/49 Ex-EJ&E 430 & 439","7493, 8523 1, 5/49 Ex-EJ&E 430 & 439","1, 5/49 Ex-EJ&E 430 & 439",Ex-EJ&E 430 & 439
"1203, 04 & 06(2nd) 3637, 5743, 2480 8/46, 1/48, 9/45 Ex-BN 538, 539 & 487 < nee CB&Q 9241, SP&S 40 and GN 150","3637, 5743, 2480 8/46, 1/48, 9/45 Ex-BN 538, 539 & 487 < nee CB&Q 9241, SP&S 40 and GN 150","8/46, 1/48, 9/45 Ex-BN 538, 539 & 487 < nee CB&Q 9241, SP&S 40 and GN 150","Ex-BN 538, 539 & 487 < nee CB&Q 9241, SP&S 40 and GN 150",
"1205 & 1207 5131, -- 1/48 Ex-Erie 406 and ??","5131, -- 1/48 Ex-Erie 406 and ??",1/48 Ex-Erie 406 and ??,Ex-Erie 406 and ??,
1206(1st) 14925 11/51 SW9; ex-SCL 181 < nee ACL 699,14925 11/51 SW9; ex-SCL 181 < nee ACL 699,11/51 SW9; ex-SCL 181 < nee ACL 699,SW9; ex-SCL 181 < nee ACL 699,
"1208-1210 6565, 4947, 4946 2/49, 9,9/47 Ex-BN 552, 402 & 401 < nee CB&Q 9403A and C&S 152 & 151","6565, 4947, 4946 2/49, 9,9/47 Ex-BN 552, 402 & 401 < nee CB&Q 9403A and C&S 152 & 151","2/49, 9,9/47 Ex-BN 552, 402 & 401 < nee CB&Q 9403A and C&S 152 & 151","Ex-BN 552, 402 & 401 < nee CB&Q 9403A and C&S 152 & 151",
"1211-1213 6580, --, 4945 3/49,--, 9/47 Ex-BN 565, 564 & 400 < nee CB&Q 9409B, 9409A and C&S 150","6580, --, 4945 3/49,--, 9/47 Ex-BN 565, 564 & 400 < nee CB&Q 9409B, 9409A and C&S 150","3/49,--, 9/47 Ex-BN 565, 564 & 400 < nee CB&Q 9409B, 9409A and C&S 150","Ex-BN 565, 564 & 400 < nee CB&Q 9409B, 9409A and C&S 150",
"1211(2nd)-1213(2nd) -- -- Ex-Relco 1215(1st), 1213 (1st) & 1212(1st)","-- -- Ex-Relco 1215(1st), 1213 (1st) & 1212(1st)","-- Ex-Relco 1215(1st), 1213 (1st) & 1212(1st)","Ex-Relco 1215(1st), 1213 (1st) & 1212(1st)",
"1214 & 1215 6247, 6875 5/48, 6/49 Ex-BN 414 & 424 < nee SLSF 254 & 264","6247, 6875 5/48, 6/49 Ex-BN 414 & 424 < nee SLSF 254 & 264","5/48, 6/49 Ex-BN 414 & 424 < nee SLSF 254 & 264",Ex-BN 414 & 424 < nee SLSF 254 & 264,
