,index,Company,Abbr,Road No.,Model,Date,HP
234,43,CIT Rail Resources,CITX,CEFX 1563,SW1500,Jul-69,1500.0
235,44,CIT Rail Resources,CITX,CEFX 1564,SW1500,Jul-72,1500.0
236,45,CIT Rail Resources,CITX,CEFX 1565,SW1500,Jun-68,1500.0
237,46,CIT Rail Resources,CITX,CEFX 1566,SW1500,Sep-69,1500.0
238,47,CIT Rail Resources,CITX,CEFX 1567,SW1500,,1500.0
239,48,CIT Rail Resources,CITX,CEFX 1568,SW1500,Sep-73,1500.0
240,49,CIT Rail Resources,CITX,CEFX 1569,SW1500,Oct-73,1500.0
241,50,CIT Rail Resources,CITX,CEFX 1570,SW1500,Mar-70,1500.0
242,51,CIT Rail Resources,CITX,CEFX 1571,SW1500,Dec-68,1500.0
243,52,CIT Rail Resources,CITX,CEFX 1573,SW1500,Nov-68,1500.0
244,53,CIT Rail Resources,CITX,CEFX 1574-CEFX 1599,SW1500,,1500.0
245,54,CIT Rail Resources,CITX,CEFX 1602,SW1500,Sep-67,1500.0
246,55,CIT Rail Resources,CITX,CEFX 1604,SW1500,,1500.0
247,56,CIT Rail Resources,CITX,CEFX 1900,GP9u,Apr-57,
248,57,CIT Rail Resources,CITX,CEFX 1901 & 1902,GP9u,,
249,58,CIT Rail Resources,CITX,CEFX 2002-2010,GP-20D,Jun-00,
250,59,CIT Rail Resources,CITX,CEFX 2011-2040,GP-20D,--,
251,60,CIT Rail Resources,CITX,CEFX 2575,SW1500,Apr-70,1500.0
252,61,CIT Rail Resources,CITX,"CITX 2799, 2800 & 2811",SD40M-2,--,
253,62,CIT Rail Resources,CITX,CITX 3032,SD40-2,Dec-78,3000.0
254,63,CIT Rail Resources,CITX,CITX 3064,SD40-2,Jan-66,3000.0
255,64,CIT Rail Resources,CITX,CITX 3071,SD40-2,Jun-67,3000.0
256,65,CIT Rail Resources,CITX,CITX 3072,SD40-2,Jan-66,3000.0
257,66,CIT Rail Resources,CITX,CITX 3077,SD40-2,May-71,3000.0
258,67,CIT Rail Resources,CITX,CITX 3088,SD40-2,Feb-67,3000.0
259,68,CIT Rail Resources,CITX,CITX 3091,SD40-2,Mar-67,3000.0
260,69,CIT Rail Resources,CITX,"CITX 3106, 07 & 09",SD40-2,,3000.0
261,70,CIT Rail Resources,CITX,CEFX 3117,SD40-2,,3000.0
262,71,CIT Rail Resources,CITX,CEFX 3127 & 3157,SD40-2,,3000.0
263,72,CIT Rail Resources,CITX,CITX 3157,SD40-2,Feb-80,3000.0
264,73,CIT Rail Resources,CITX,CEFX 3164,SD40-2,Aug-78,3000.0
265,74,CIT Rail Resources,CITX,CITX 3170,SD40-2,Jun-79,3000.0
