Company,Abbr,Model,Road No.,Date
National Railway Equipment Motive Power,NRE,Road,"UP 1601, 08-09 & 1613",
National Railway Equipment Motive Power,NRE,GP38,UP 1985 & 1989,
National Railway Equipment Motive Power,NRE,SD40-2,UP 3181,
National Railway Equipment Motive Power,NRE,SD40-2,UP 4231 & 4277,
National Railway Equipment Motive Power,NRE,SD40-2B,UP 4311,
National Railway Equipment Motive Power,NRE,SD50,UP 5000s,
National Railway Equipment Motive Power,NRE,SD50,UP 7009,
National Railway Equipment Motive Power,NRE,SD45-2,UP 7526,
National Railway Equipment Motive Power,NRE,SD40T-2,UP 7877,
National Railway Equipment Motive Power,NRE,SD40T-2,UP 8785-8786,
National Railway Equipment Motive Power,NRE,SD40-2,UP 8965 & 8993,
National Railway Equipment Motive Power,NRE,SD45,UP 8974 & 9926,
National Railway Equipment Motive Power,NRE,GP40,UP 9967,
National Railway Equipment Motive Power,NRE,SD40-2,(VMV 2001),
National Railway Equipment Motive Power,NRE,GP30,WAMX 3023,
National Railway Equipment Motive Power,NRE,SD35,Wisconsin Central 2500,
National Railway Equipment Motive Power,NRE,SD45,WC 6597 & 6625,
National Railway Equipment Motive Power,NRE,SD45,WC 7500s,
National Railway Equipment Motive Power,NRE,SW1200,3,
National Railway Equipment Motive Power,NRE,VO-1000m,7,
National Railway Equipment Motive Power,NRE,45-Ton,"9, 15 & 17",
National Railway Equipment Motive Power,NRE,TR2,90,
National Railway Equipment Motive Power,NRE,SW1200,152-3 & 155,
National Railway Equipment Motive Power,NRE,SW1001,202,
National Railway Equipment Motive Power,NRE,SW1000,203 & 206,
National Railway Equipment Motive Power,NRE,SW9,622,
National Railway Equipment Motive Power,NRE,Slug,704B,
National Railway Equipment Motive Power,NRE,SW1200,704C & 708D,
National Railway Equipment Motive Power,NRE,SW10,1284,
National Railway Equipment Motive Power,NRE,SW14,1442,
National Railway Equipment Motive Power,NRE,MP15,1539 & 1560,
National Railway Equipment Motive Power,NRE,SW9,2295,
National Railway Equipment Motive Power,NRE,SW1500,2472 & 2543,
National Railway Equipment Motive Power,NRE,SW1200,3401,
National Railway Equipment Motive Power,NRE,SW1200,3500 & 3513-14,
National Railway Equipment Motive Power,NRE,SW1000,3615,
National Railway Equipment Motive Power,NRE,SW900,8615,
National Railway Equipment Motive Power,NRE,SW1500,Burlington Nrn 3426 & 3459,
National Railway Equipment Motive Power,NRE,SW1200,BN 3518,
National Railway Equipment Motive Power,NRE,SW1200,CANX 1349,
National Railway Equipment Motive Power,NRE,SW1001,Cedar Bay Generating 201,
National Railway Equipment Motive Power,NRE,SW1200,Canadian National 7709 & 7722,
National Railway Equipment Motive Power,NRE,SW10,Canadian Pacifc 1283-84 & 1287,
National Railway Equipment Motive Power,NRE,SW1200RSu,CP 8124,
National Railway Equipment Motive Power,NRE,NW2,Elgin Joliet & Estn 441,
National Railway Equipment Motive Power,NRE,SW1,Ethyl Corp 100,
National Railway Equipment Motive Power,NRE,G12,"Ferro Natl. Mexico 5800, 5814 & 5837",
National Railway Equipment Motive Power,NRE,G12,"FNM 5856, 5864 & 5868",
National Railway Equipment Motive Power,NRE,G12,"FNM 5872, 5876 & 5880",
National Railway Equipment Motive Power,NRE,SW1200,Gateway Western 1201,
National Railway Equipment Motive Power,NRE,SW14,Illinois Central 1400s,
National Railway Equipment Motive Power,NRE,SW1,Inland Steel Co. 76 & 78,
National Railway Equipment Motive Power,NRE,SW14,"ISC 90, 96 & 107",
National Railway Equipment Motive Power,NRE,SW9,ISC 129,
National Railway Equipment Motive Power,NRE,??,ISC 7441,
National Railway Equipment Motive Power,NRE,SW1001,"Korean National 2104, 07 & 09",
National Railway Equipment Motive Power,NRE,SW1001,"KNR 2110-11, 14-15 & 17-18",
National Railway Equipment Motive Power,NRE,SW1001,"KNR 2120-1, 25, 27",
National Railway Equipment Motive Power,NRE,G12,KNR 4301,
National Railway Equipment Motive Power,NRE,SW1200,Minnesota Commercial 110,
National Railway Equipment Motive Power,NRE,SW1500,Minn.Cmcl. 302 & 306,
National Railway Equipment Motive Power,NRE,MP15AC,Mobil 963,
National Railway Equipment Motive Power,NRE,SW9,SOO Line 2119,
National Railway Equipment Motive Power,NRE,SW1500,Southern Pacific 1405,
National Railway Equipment Motive Power,NRE,SW1500,SP 2531,
National Railway Equipment Motive Power,NRE,SW10,Union Pacific 1222,
National Railway Equipment Motive Power,NRE,SW1200,"US Steel 9, 21 & 32",
National Railway Equipment Motive Power,NRE,SW1200,"US Steel 46-48 , 52-55 & 59-60",
National Railway Equipment Motive Power,NRE,SW1200,"US Steel 106, 112, & 113",
National Railway Equipment Motive Power,NRE,SW1200,US Steel 1241 & 1243,
National Railway Equipment Motive Power,NRE,SW900,US Steel 9655,
National Railway Equipment Motive Power,NRE,SW1,WAMX 108,
National Railway Equipment Motive Power,NRE,SW9,WAMX 908,
